"","item","n","entropy","avg_choices","note"
"23","Book of Nonsense (characters)",23,0.00499757646934041,1.0053118902886,"Conditional Entropy"
"24","Book of Nonsense (characters)",24,0.00334195992114718,1.00351658388994,"Conditional Entropy"
"25","Book of Nonsense (characters)",25,0.00226565788499093,1.00230181542679,"Conditional Entropy"
"26","Book of Nonsense (characters)",26,0.00149994692068756,1.00151251341037,"Conditional Entropy"
"27","Book of Nonsense (characters)",27,0.000994963538671322,1.0010225799931,"Conditional Entropy"
"28","Book of Nonsense (characters)",28,0.000628342629125027,1.00062728067795,"Conditional Entropy"
"29","Book of Nonsense (characters)",29,0.000461904113805334,1.00046519314697,"Conditional Entropy"
"30","Book of Nonsense (characters)",30,0.000352484178407862,1.00036037827292,"Conditional Entropy"
"31","Book of Nonsense (characters)",31,0.000269656755168073,1.00027759551809,"Conditional Entropy"
"32","Book of Nonsense (characters)",32,0.000197030517272913,1.00020505196786,"Conditional Entropy"
"33","Book of Nonsense (characters)",33,0.000161132112022726,1.0001692609157,"Conditional Entropy"
"34","Book of Nonsense (characters)",34,8.43744625399449e-05,1.00009262077087,"Conditional Entropy"
"35","Book of Nonsense (characters)",35,6.72454256299215e-05,1.00006725040014,"Conditional Entropy"
"36","Book of Nonsense (characters)",36,5.47016027569608e-05,1.00005470422111,"Conditional Entropy"
"37","Book of Nonsense (characters)",37,2.7818733134893e-05,1.00002781970052,"Conditional Entropy"
"38","Book of Nonsense (characters)",38,2.83027545655881e-05,1.00002830335536,"Conditional Entropy"
"39","Book of Nonsense (characters)",39,1.44017512529524e-05,1.00001440195867,"Conditional Entropy"
"40","Book of Nonsense (characters)",40,1.46611443023128e-05,1.00001466125178,"Conditional Entropy"
"41","Book of Nonsense (characters)",41,1.4930052703086e-05,1.0000149300527,"Conditional Entropy"
"42","Book of Nonsense (characters)",42,0,1,"Conditional Entropy"
"43","Book of Nonsense (characters)",43,0,1,"Conditional Entropy"
"44","Book of Nonsense (characters)",44,0,1,"Conditional Entropy"
"45","Book of Nonsense (characters)",45,0,1,"Conditional Entropy"
"46","Book of Nonsense (characters)",46,0,1,"Conditional Entropy"
"47","Book of Nonsense (characters)",47,0,1,"Conditional Entropy"
"48","Book of Nonsense (characters)",48,0,1,"Conditional Entropy"
"49","Book of Nonsense (characters)",49,0,1,"Conditional Entropy"
"50","Book of Nonsense (characters)",50,0,1,"Conditional Entropy"
"51","Book of Nonsense (words)",1,9.19606171520064,2665,"Shanon's Entropy"
"52","Book of Nonsense (words)",2,4.46057396016319,73.34375,"Conditional Entropy"
"53","Book of Nonsense (words)",3,1.37445685788146,3.31850144428559,"Conditional Entropy"
"54","Book of Nonsense (words)",4,0.183305291472813,1.21618697867737,"Conditional Entropy"
"55","Book of Nonsense (words)",5,0.008713123187802,1.00889457491852,"Conditional Entropy"
"56","Book of Nonsense (words)",6,0.0005676655748325,1.00052673163023,"Conditional Entropy"
"57","Book of Nonsense (words)",7,0.000170316193930922,1.00014328187126,"Conditional Entropy"
"58","Book of Nonsense (words)",8,7.85638527713399e-05,1.00007856385277,"Conditional Entropy"
"59","Book of Nonsense (words)",9,0,1,"Conditional Entropy"
"60","Book of Nonsense (words)",10,0,1,"Conditional Entropy"
"61","Book of Nonsense (words)",11,0,1,"Conditional Entropy"
"62","Book of Nonsense (words)",12,0,1,"Conditional Entropy"
"63","Book of Nonsense (words)",13,0,1,"Conditional Entropy"
"64","Book of Nonsense (words)",14,0,1,"Conditional Entropy"
"65","Book of Nonsense (words)",15,0,1,"Conditional Entropy"
"66","Book of Nonsense (words)",16,0,1,"Conditional Entropy"
"67","Book of Nonsense (words)",17,0,1,"Conditional Entropy"
"68","Book of Nonsense (words)",18,0,1,"Conditional Entropy"
"69","Book of Nonsense (words)",19,0,1,"Conditional Entropy"
"70","Book of Nonsense (words)",20,0,1,"Conditional Entropy"
"71","Book of Nonsense (words)",21,0,1,"Conditional Entropy"
"72","Book of Nonsense (words)",22,0,1,"Conditional Entropy"
"73","Book of Nonsense (words)",23,0,1,"Conditional Entropy"
"74","Book of Nonsense (words)",24,0,1,"Conditional Entropy"
"75","Book of Nonsense (words)",25,0,1,"Conditional Entropy"
"76","Book of Nonsense (words)",26,0,1,"Conditional Entropy"
"77","Book of Nonsense (words)",27,0,1,"Conditional Entropy"
"78","Book of Nonsense (words)",28,0,1,"Conditional Entropy"
"79","Book of Nonsense (words)",29,0,1,"Conditional Entropy"
"80","Book of Nonsense (words)",30,0,1,"Conditional Entropy"
"81","Book of Nonsense (words)",31,0,1,"Conditional Entropy"
"82","Book of Nonsense (words)",32,0,1,"Conditional Entropy"
"83","Book of Nonsense (words)",33,0,1,"Conditional Entropy"
"84","Book of Nonsense (words)",34,0,1,"Conditional Entropy"
"85","Book of Nonsense (words)",35,0,1,"Conditional Entropy"
"86","Book of Nonsense (words)",36,0,1,"Conditional Entropy"
"87","Book of Nonsense (words)",37,0,1,"Conditional Entropy"
"88","Book of Nonsense (words)",38,0,1,"Conditional Entropy"
"89","Book of Nonsense (words)",39,0,1,"Conditional Entropy"
"90","Book of Nonsense (words)",40,0,1,"Conditional Entropy"
"91","Book of Nonsense (words)",41,0,1,"Conditional Entropy"
"92","Book of Nonsense (words)",42,0,1,"Conditional Entropy"
"93","Book of Nonsense (words)",43,0,1,"Conditional Entropy"
"94","Book of Nonsense (words)",44,0,1,"Conditional Entropy"
"95","Book of Nonsense (words)",45,0,1,"Conditional Entropy"
"96","Book of Nonsense (words)",46,0,0,"Doesn't Exist"
"97","Book of Nonsense (words)",47,0,0,"Doesn't Exist"
"98","Book of Nonsense (words)",48,0,0,"Doesn't Exist"
"99","Book of Nonsense (words)",49,0,0,"Doesn't Exist"
"100","Book of Nonsense (words)",50,0,0,"Doesn't Exist"
"101","Book of Psalms (characters)",1,4.07091902849465,27,"Shanon's Entropy"
"102","Book of Psalms (characters)",2,3.2252007764262,22.0497017892644,"Conditional Entropy"
"103","Book of Psalms (characters)",3,2.45261354617461,13.1462920779549,"Conditional Entropy"
"104","Book of Psalms (characters)",4,1.80182597119074,7.71259466215719,"Conditional Entropy"
"105","Book of Psalms (characters)",5,1.39457768206337,4.97621513278771,"Conditional Entropy"
"106","Book of Psalms (characters)",6,1.09587557062328,3.45532264200052,"Conditional Entropy"
"107","Book of Psalms (characters)",7,0.86993344007718,2.66180189598904,"Conditional Entropy"
"108","Book of Psalms (characters)",8,0.67354622581994,2.1728054625435,"Conditional Entropy"
"109","Book of Psalms (characters)",9,0.500468737181702,1.77741531657483,"Conditional Entropy"
"110","Book of Psalms (characters)",10,0.372249647321136,1.53038594006502,"Conditional Entropy"
"111","Book of Psalms (characters)",11,0.271526741163651,1.35995671155021,"Conditional Entropy"
"112","Book of Psalms (characters)",12,0.195790829153517,1.24886833981644,"Conditional Entropy"
"113","Book of Psalms (characters)",13,0.1407738328426,1.1712784170084,"Conditional Entropy"
"114","Book of Psalms (characters)",14,0.102259360155297,1.11943343361438,"Conditional Entropy"
"115","Book of Psalms (characters)",15,0.0754319287059405,1.08436006322244,"Conditional Entropy"
"116","Book of Psalms (characters)",16,0.0565320423347202,1.06196471017318,"Conditional Entropy"
"117","Book of Psalms (characters)",17,0.0412058371420453,1.04402874272505,"Conditional Entropy"
"118","Book of Psalms (characters)",18,0.0306332444178262,1.03223541507329,"Conditional Entropy"
"119","Book of Psalms (characters)",19,0.0230661811312621,1.02409486882522,"Conditional Entropy"
"120","Book of Psalms (characters)",20,0.0178042305649144,1.01813217098219,"Conditional Entropy"
"121","Book of Psalms (characters)",21,0.013234138763185,1.01347257551161,"Conditional Entropy"
"122","Book of Psalms (characters)",22,0.00981622900495257,1.00969920830697,"Conditional Entropy"
"123","Book of Psalms (characters)",23,0.00779231807344348,1.00777330685619,"Conditional Entropy"
"124","Book of Psalms (characters)",24,0.00606066967007552,1.00604577325043,"Conditional Entropy"
"125","Book of Psalms (characters)",25,0.00466814433003369,1.00467953875034,"Conditional Entropy"
"126","Book of Psalms (characters)",26,0.00351755426081754,1.00353638051454,"Conditional Entropy"
"127","Book of Psalms (characters)",27,0.00289275559963965,1.00289903089539,"Conditional Entropy"
"128","Book of Psalms (characters)",28,0.00232268250090982,1.00228518554865,"Conditional Entropy"
"129","Book of Psalms (characters)",29,0.00195648617410769,1.00192295365682,"Conditional Entropy"
"130","Book of Psalms (characters)",30,0.00162134621078445,1.00159264487639,"Conditional Entropy"
"131","Book of Psalms (characters)",31,0.00147611880990582,1.00144283148317,"Conditional Entropy"
"132","Book of Psalms (characters)",32,0.00134038868761365,1.00130302916838,"Conditional Entropy"
"133","Book of Psalms (characters)",33,0.0012541617967883,1.00120424075669,"Conditional Entropy"
"134","Book of Psalms (characters)",34,0.0010726556977065,1.00102449473782,"Conditional Entropy"
"135","Book of Psalms (characters)",35,0.000977961493201946,1.00093299070963,"Conditional Entropy"
"136","Book of Psalms (characters)",36,0.000917447006477341,1.00087027994005,"Conditional Entropy"
"137","Book of Psalms (characters)",37,0.000848367945964007,1.00080515297907,"Conditional Entropy"
"138","Book of Psalms (characters)",38,0.000799314260873102,1.00075420469115,"Conditional Entropy"
"139","Book of Psalms (characters)",39,0.000717641424380311,1.00068409981016,"Conditional Entropy"
"140","Book of Psalms (characters)",40,0.00067023308202901,1.00064600611087,"Conditional Entropy"
"141","Book of Psalms (characters)",41,0.000642756444820866,1.00062412511034,"Conditional Entropy"
"142","Book of Psalms (characters)",42,0.000614034295621394,1.00060128456247,"Conditional Entropy"
"143","Book of Psalms (characters)",43,0.000609435164408986,1.00059604746028,"Conditional Entropy"
"144","Book of Psalms (characters)",44,0.00054792449978272,1.00053342477758,"Conditional Entropy"
"145","Book of Psalms (characters)",45,0.000452113712864443,1.00044839552384,"Conditional Entropy"
"146","Book of Psalms (characters)",46,0.000443218629016147,1.000439139287,"Conditional Entropy"
"147","Book of Psalms (characters)",47,0.000454161465966101,1.00044986555155,"Conditional Entropy"
"148","Book of Psalms (characters)",48,0.000465638948157556,1.00046111442974,"Conditional Entropy"
"149","Book of Psalms (characters)",49,0.000434983269851147,1.00042992261393,"Conditional Entropy"
"150","Book of Psalms (characters)",50,0.000402687375398947,1.00039708802118,"Conditional Entropy"
"151","Book of Psalms (words)",1,8.34376220880843,2890,"Shanon's Entropy"
"152","Book of Psalms (words)",2,4.60808707768552,94.7322175732218,"Conditional Entropy"
"153","Book of Psalms (words)",3,1.72451534627079,8.39770387688872,"Conditional Entropy"
"154","Book of Psalms (words)",4,0.445451790749387,1.80993913534542,"Conditional Entropy"
"155","Book of Psalms (words)",5,0.117809736675522,1.14775776159448,"Conditional Entropy"
"156","Book of Psalms (words)",6,0.0358264815744102,1.04169628050225,"Conditional Entropy"
"157","Book of Psalms (words)",7,0.0126512506452246,1.01307571496402,"Conditional Entropy"
"158","Book of Psalms (words)",8,0.00599556862486117,1.00614696842693,"Conditional Entropy"
"159","Book of Psalms (words)",9,0.00442970271245009,1.00449557054079,"Conditional Entropy"
"160","Book of Psalms (words)",10,0.00293801849394531,1.00285672068167,"Conditional Entropy"
"161","Book of Psalms (words)",11,0.00266912406051878,1.00256510344058,"Conditional Entropy"
"162","Book of Psalms (words)",12,0.00233364365093101,1.00230621396541,"Conditional Entropy"
"163","Book of Psalms (words)",13,0.00198699498716402,1.00194581649454,"Conditional Entropy"
"164","Book of Psalms (words)",14,0.00130297487655983,1.00124466571835,"Conditional Entropy"
"165","Book of Psalms (words)",15,0.000850430530456043,1.00085534053245,"Conditional Entropy"
"166","Book of Psalms (words)",16,0.00103372528750485,1.00103842159917,"Conditional Entropy"
"167","Book of Psalms (words)",17,0.000948017064307157,1.00095102234903,"Conditional Entropy"
"168","Book of Psalms (words)",18,0.000388198757763975,1.00038925652005,"Conditional Entropy"
"169","Book of Psalms (words)",19,0.000476758045292014,1.0004776689754,"Conditional Entropy"
"170","Book of Psalms (words)",20,0,1,"Conditional Entropy"
"171","Book of Psalms (words)",21,0,1,"Conditional Entropy"
"172","Book of Psalms (words)",22,0,1,"Conditional Entropy"
"173","Book of Psalms (words)",23,0,1,"Conditional Entropy"
"174","Book of Psalms (words)",24,0,1,"Conditional Entropy"
"175","Book of Psalms (words)",25,0,1,"Conditional Entropy"
"176","Book of Psalms (words)",26,0,1,"Conditional Entropy"
"177","Book of Psalms (words)",27,0,1,"Conditional Entropy"
"178","Book of Psalms (words)",28,0,1,"Conditional Entropy"
"179","Book of Psalms (words)",29,0,1,"Conditional Entropy"
"180","Book of Psalms (words)",30,0,1,"Conditional Entropy"
"181","Book of Psalms (words)",31,0,1,"Conditional Entropy"
"182","Book of Psalms (words)",32,0,1,"Conditional Entropy"
"183","Book of Psalms (words)",33,0,1,"Conditional Entropy"
"184","Book of Psalms (words)",34,0,1,"Conditional Entropy"
"185","Book of Psalms (words)",35,0,1,"Conditional Entropy"
"186","Book of Psalms (words)",36,0,1,"Conditional Entropy"
"187","Book of Psalms (words)",37,0,1,"Conditional Entropy"
"188","Book of Psalms (words)",38,0,1,"Conditional Entropy"
"189","Book of Psalms (words)",39,0,1,"Conditional Entropy"
"190","Book of Psalms (words)",40,0,1,"Conditional Entropy"
"191","Book of Psalms (words)",41,0,1,"Conditional Entropy"
"192","Book of Psalms (words)",42,0,1,"Conditional Entropy"
"193","Book of Psalms (words)",43,0,1,"Conditional Entropy"
"194","Book of Psalms (words)",44,0,1,"Conditional Entropy"
"195","Book of Psalms (words)",45,0,1,"Conditional Entropy"
"196","Book of Psalms (words)",46,0,0,"Doesn't Exist"
"197","Book of Psalms (words)",47,0,0,"Doesn't Exist"
"198","Book of Psalms (words)",48,0,0,"Doesn't Exist"
"199","Book of Psalms (words)",49,0,0,"Doesn't Exist"
"200","Book of Psalms (words)",50,0,0,"Doesn't Exist"
"201","Hamptonese (Method A)",1,4.49802632806113,75,"Shanon's Entropy"
"202","Hamptonese (Method A)",2,3.50901590653905,34.5216836734694,"Conditional Entropy"
"203","Hamptonese (Method A)",3,2.83063520963193,12.2332312830504,"Conditional Entropy"
"204","Hamptonese (Method A)",4,1.74203998064014,5.07636561988623,"Conditional Entropy"
"205","Hamptonese (Method A)",5,0.85034423766415,2.45580521919316,"Conditional Entropy"
"206","Hamptonese (Method A)",6,0.353334900598762,1.51303495589677,"Conditional Entropy"
"207","Hamptonese (Method A)",7,0.137444109207318,1.19022611232677,"Conditional Entropy"
"208","Hamptonese (Method A)",8,0.0445082924380568,1.05049186036389,"Conditional Entropy"
"209","Hamptonese (Method A)",9,0.0132922942052761,1.01326699834163,"Conditional Entropy"
"210","Hamptonese (Method A)",10,0.00375814293337839,1.00364908012772,"Conditional Entropy"
"211","Hamptonese (Method A)",11,0,1,"Conditional Entropy"
"212","Hamptonese (Method A)",12,0,1,"Conditional Entropy"
"213","Hamptonese (Method A)",13,0,1,"Conditional Entropy"
"214","Hamptonese (Method A)",14,0,1,"Conditional Entropy"
"215","Hamptonese (Method A)",15,0,1,"Conditional Entropy"
"216","Hamptonese (Method A)",16,0,1,"Conditional Entropy"
"217","Hamptonese (Method A)",17,0,1,"Conditional Entropy"
"218","Hamptonese (Method A)",18,0,1,"Conditional Entropy"
"219","Hamptonese (Method A)",19,0,0,"Doesn't Exist"
"220","Hamptonese (Method A)",20,0,0,"Doesn't Exist"
"221","Hamptonese (Method A)",21,0,0,"Doesn't Exist"
"222","Hamptonese (Method A)",22,0,0,"Doesn't Exist"
"223","Hamptonese (Method A)",23,0,0,"Doesn't Exist"
"224","Hamptonese (Method A)",24,0,0,"Doesn't Exist"
"225","Hamptonese (Method A)",25,0,0,"Doesn't Exist"
"226","Hamptonese (Method A)",26,0,0,"Doesn't Exist"
"227","Hamptonese (Method A)",27,0,0,"Doesn't Exist"
"228","Hamptonese (Method A)",28,0,0,"Doesn't Exist"
"229","Hamptonese (Method A)",29,0,0,"Doesn't Exist"
"230","Hamptonese (Method A)",30,0,0,"Doesn't Exist"
"231","Hamptonese (Method A)",31,0,0,"Doesn't Exist"
"232","Hamptonese (Method A)",32,0,0,"Doesn't Exist"
"233","Hamptonese (Method A)",33,0,0,"Doesn't Exist"
"234","Hamptonese (Method A)",34,0,0,"Doesn't Exist"
"235","Hamptonese (Method A)",35,0,0,"Doesn't Exist"
"236","Hamptonese (Method A)",36,0,0,"Doesn't Exist"
"237","Hamptonese (Method A)",37,0,0,"Doesn't Exist"
"238","Hamptonese (Method A)",38,0,0,"Doesn't Exist"
"239","Hamptonese (Method A)",39,0,0,"Doesn't Exist"
"240","Hamptonese (Method A)",40,0,0,"Doesn't Exist"
"241","Hamptonese (Method A)",41,0,0,"Doesn't Exist"
"242","Hamptonese (Method A)",42,0,0,"Doesn't Exist"
"243","Hamptonese (Method A)",43,0,0,"Doesn't Exist"
"244","Hamptonese (Method A)",44,0,0,"Doesn't Exist"
"245","Hamptonese (Method A)",45,0,0,"Doesn't Exist"
"246","Hamptonese (Method A)",46,0,0,"Doesn't Exist"
"247","Hamptonese (Method A)",47,0,0,"Doesn't Exist"
"248","Hamptonese (Method A)",48,0,0,"Doesn't Exist"
"249","Hamptonese (Method A)",49,0,0,"Doesn't Exist"
"250","Hamptonese (Method A)",50,0,0,"Doesn't Exist"
"251","Hamptonese (Method B)",1,4.44494244661258,43,"Shanon's Entropy"
"252","Hamptonese (Method B)",2,3.49603731301796,32.6767036450079,"Conditional Entropy"
"253","Hamptonese (Method B)",3,2.87246246602605,12.3904069767442,"Conditional Entropy"
"254","Hamptonese (Method B)",4,1.77028571947757,5.08935837245696,"Conditional Entropy"
"255","Hamptonese (Method B)",5,0.852715056147223,2.44744161976842,"Conditional Entropy"
"256","Hamptonese (Method B)",6,0.351533929343176,1.50910277324633,"Conditional Entropy"
"257","Hamptonese (Method B)",7,0.135643177505577,1.18358121901429,"Conditional Entropy"
"258","Hamptonese (Method B)",8,0.0438205936501259,1.04979108635097,"Conditional Entropy"
"259","Hamptonese (Method B)",9,0.0130721995645806,1.0130458817026,"Conditional Entropy"
"260","Hamptonese (Method B)",10,0.00375814293337839,1.00364908012772,"Conditional Entropy"
"261","Hamptonese (Method B)",11,0,1,"Conditional Entropy"
"262","Hamptonese (Method B)",12,0,1,"Conditional Entropy"
"263","Hamptonese (Method B)",13,0,1,"Conditional Entropy"
"264","Hamptonese (Method B)",14,0,1,"Conditional Entropy"
"265","Hamptonese (Method B)",15,0,1,"Conditional Entropy"
"266","Hamptonese (Method B)",16,0,1,"Conditional Entropy"
"267","Hamptonese (Method B)",17,0,1,"Conditional Entropy"
"268","Hamptonese (Method B)",18,0,1,"Conditional Entropy"
"269","Hamptonese (Method B)",19,0,0,"Doesn't Exist"
"270","Hamptonese (Method B)",20,0,0,"Doesn't Exist"
"271","Hamptonese (Method B)",21,0,0,"Doesn't Exist"
"272","Hamptonese (Method B)",22,0,0,"Doesn't Exist"
"273","Hamptonese (Method B)",23,0,0,"Doesn't Exist"
"274","Hamptonese (Method B)",24,0,0,"Doesn't Exist"
"275","Hamptonese (Method B)",25,0,0,"Doesn't Exist"
"276","Hamptonese (Method B)",26,0,0,"Doesn't Exist"
"277","Hamptonese (Method B)",27,0,0,"Doesn't Exist"
"278","Hamptonese (Method B)",28,0,0,"Doesn't Exist"
"279","Hamptonese (Method B)",29,0,0,"Doesn't Exist"
"280","Hamptonese (Method B)",30,0,0,"Doesn't Exist"
"281","Hamptonese (Method B)",31,0,0,"Doesn't Exist"
"282","Hamptonese (Method B)",32,0,0,"Doesn't Exist"
"283","Hamptonese (Method B)",33,0,0,"Doesn't Exist"
"284","Hamptonese (Method B)",34,0,0,"Doesn't Exist"
"285","Hamptonese (Method B)",35,0,0,"Doesn't Exist"
"286","Hamptonese (Method B)",36,0,0,"Doesn't Exist"
"287","Hamptonese (Method B)",37,0,0,"Doesn't Exist"
"288","Hamptonese (Method B)",38,0,0,"Doesn't Exist"
"289","Hamptonese (Method B)",39,0,0,"Doesn't Exist"
"290","Hamptonese (Method B)",40,0,0,"Doesn't Exist"
"291","Hamptonese (Method B)",41,0,0,"Doesn't Exist"
"292","Hamptonese (Method B)",42,0,0,"Doesn't Exist"
"293","Hamptonese (Method B)",43,0,0,"Doesn't Exist"
"294","Hamptonese (Method B)",44,0,0,"Doesn't Exist"
"295","Hamptonese (Method B)",45,0,0,"Doesn't Exist"
"296","Hamptonese (Method B)",46,0,0,"Doesn't Exist"
"297","Hamptonese (Method B)",47,0,0,"Doesn't Exist"
"298","Hamptonese (Method B)",48,0,0,"Doesn't Exist"
"299","Hamptonese (Method B)",49,0,0,"Doesn't Exist"
"300","Hamptonese (Method B)",50,0,0,"Doesn't Exist"
